Class Number,Class,Division,Year,Quarter,Restrictions,Add Code Required,SLN,ID,Credit,Laboratory,Meeting Day,Meeting Times,Building,Room,Instructor,Status,Enrolled,Enrollment Limit,Grades,Fee,Other
CSS110,INTRO CYBERSECURITY ,CSS,2017,SUM,no_restriction,no_add_code,14627,A,5,-,MW,1145-215,UW1,031,"Dupuis, Marc J",Open,13,30,-,-,%
CSS161,CMPT PROG I,CSS,2017,SUM,no_restriction,no_add_code,11003,A,5,-,MW,230-500,UW1,010,"Kim, Jeffrey Y.",Open,23,45,-,-,-
CSS162,PROG METHODOLOGY,CSS,2017,SUM,no_restriction,no_add_code,11004,A,5,-,MW,230-500,UW1,220,"Nixon, David M.",Open,23,45,-,-,-
CSS198,SUPERVISED STUDY,CSS,2017,SUM,-,-,-,IS,-,-,-,-,-,-,-,-,-,-,-,-,"add_code_required Note: couldn't interpret '11005', in original. Note: couldn't interpret 'A', in original. Note: couldn't interpret '1-5', in original. Note: couldn't interpret 'to_be_arranged', in original. Note: couldn't interpret '0', in original. Note: couldn't interpret '20', in original."
CSS198,SUPERVISED STUDY,CSS,2017,SUM,-,-,-,IS,-,-,-,-,-,-,-,-,-,-,-,-,"add_code_required Note: couldn't interpret '11006', in original. Note: couldn't interpret 'B', in original. Note: couldn't interpret '1-5', in original. Note: couldn't interpret 'to_be_arranged', in original. Note: couldn't interpret '1', in original. Note: couldn't interpret '20E', in original. Note: couldn't interpret 'CR_NC', in original."
CSS199,COMPUTING RESEARCH,CSS,2017,SUM,-,-,-,IS,-,-,-,-,-,-,-,-,-,-,-,-,"add_code_required Note: couldn't interpret '11007', in original. Note: couldn't interpret 'A', in original. Note: couldn't interpret '1-5', in original. Note: couldn't interpret 'to_be_arranged', in original. Note: couldn't interpret '0', in original. Note: couldn't interpret '20', in original."
CSS199,COMPUTING RESEARCH,CSS,2017,SUM,-,-,-,IS,-,-,-,-,-,-,-,-,-,-,-,-,"add_code_required Note: couldn't interpret '11008', in original. Note: couldn't interpret 'B', in original. Note: couldn't interpret '1-5', in original. Note: couldn't interpret 'to_be_arranged', in original. Note: couldn't interpret '0', in original. Note: couldn't interpret '20', in original. Note: couldn't interpret 'CR_NC', in original."
CSS301,TECHNICAL WRITING,CSS,2017,SUM,Restr,no_add_code,-,A,5,-,MW,900-1130,UW1,020,"Anderson, Laurie Joy",Open,38,45,-,$6,W
CSS430,OPERATING SYSTEMS,CSS,2017,SUM,Restr,no_add_code,-,A,5,-,TTh,100-330,UWBB,205,"Deal, Galen Patrick",Open,22,40,-,$13,-
CSS475,DATABASE SYSTEMS,CSS,2017,SUM,Restr,no_add_code,-,A,5,-,M,-,600-830P,-,-,-,-,-,-,-,"UW1 Note: couldn't interpret '020', in original. Note: couldn't interpret 'KOCHANSKI,MARK', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '29', in original. Note: couldn't interpret '45E', in original. Note: couldn't interpret '$13', in original."
CSS475,DATABASE SYSTEMS,CSS,2017,SUM,Restr,no_add_code,-,B,5,-,TTh,345-615,UW2,131,"Retik, Arieh A",Open,38,45,-,$13,-
CSS490,SPECIAL TOPICS,CSS,2017,SUM,Restr,no_add_code,-,A,5,-,MW,100-330,UW1,020,"Erdly, William W",Open,33,45,-,-,-
CSS495,A CMPT INTERNSHIP,CSS,2017,SUM,no_restriction,no_add_code,14593,A,5,-,-,to_be_arranged,*,*,-,-,-,-,-,-," Note: couldn't interpret '*', in original. Note: couldn't interpret 'Closed', in original. Note: couldn't interpret '0', in original. Note: couldn't interpret '15', in original. Note: couldn't interpret 'CR_NC', in original."
