Class Number,Class,Division,Year,Quarter,Restrictions,Add Code Required,SLN,ID,Credit,Laboratory,Meeting Day,Meeting Times,Building,Room,Instructor,Status,Enrolled,Enrollment Limit,Grades,Fee,Other
CSS161,FUND OF COMPUTING,CSS,2016,SUM,no_restriction,no_add_code,10942,A,5,-,MW,230-500,UWBB,230,"Nash, Rob D",Open,34,45,-,-,-
CSS162,PROG METHODOLOGY,CSS,2016,SUM,no_restriction,no_add_code,10943,A,5,-,MW,-,600-830P,-,-,-,-,-,-,-,"UW1 Note: couldn't interpret '020', in original. Note: couldn't interpret 'NASH,ROB', in original. Note: couldn't interpret 'D', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '14', in original. Note: couldn't interpret '45', in original. Note: couldn't interpret '$17', in original."
CSS198,SUPERVISED STUDY,CSS,2016,SUM,-,-,-,IS,-,-,-,-,-,-,-,-,-,-,-,-,"add_code_required Note: couldn't interpret '10944', in original. Note: couldn't interpret 'A', in original. Note: couldn't interpret '1-5', in original. Note: couldn't interpret 'to_be_arranged', in original. Note: couldn't interpret '0', in original. Note: couldn't interpret '20', in original."
CSS198,SUPERVISED STUDY,CSS,2016,SUM,-,-,-,IS,-,-,-,-,-,-,-,-,-,-,-,-,"add_code_required Note: couldn't interpret '10945', in original. Note: couldn't interpret 'B', in original. Note: couldn't interpret '1-5', in original. Note: couldn't interpret 'to_be_arranged', in original. Note: couldn't interpret '0', in original. Note: couldn't interpret '20E', in original. Note: couldn't interpret 'CR_NC', in original."
CSS199,COMPUTING RESEARCH,CSS,2016,SUM,-,-,-,IS,-,-,-,-,-,-,-,-,-,-,-,-,"add_code_required Note: couldn't interpret '10946', in original. Note: couldn't interpret 'A', in original. Note: couldn't interpret '1-5', in original. Note: couldn't interpret 'to_be_arranged', in original. Note: couldn't interpret '0', in original. Note: couldn't interpret '20', in original."
CSS199,COMPUTING RESEARCH,CSS,2016,SUM,-,-,-,IS,-,-,-,-,-,-,-,-,-,-,-,-,"add_code_required Note: couldn't interpret '10947', in original. Note: couldn't interpret 'B', in original. Note: couldn't interpret '1-5', in original. Note: couldn't interpret 'to_be_arranged', in original. Note: couldn't interpret '0', in original. Note: couldn't interpret '20', in original. Note: couldn't interpret 'CR_NC', in original."
CSS301,TECHNICAL WRITING,CSS,2016,SUM,Restr,no_add_code,-,A,5,-,MW,900-1130,UW1,221,"Anderson, Laurie Joy",Open,16,30,-,$6,W
CSS430,OPERATING SYSTEMS,CSS,2016,SUM,Restr,no_add_code,-,A,5,-,TTh,100-330,UW1,031,"Panitz, Michael William",Open,25,30,-,$17,-
CSS475,DATABASE SYSTEMS,CSS,2016,SUM,Restr,no_add_code,-,A,5,-,M,-,600-830P,-,-,-,-,-,-,-,"DISC Note: couldn't interpret '162', in original. Note: couldn't interpret 'KOCHANSKI,MARK', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '48', in original. Note: couldn't interpret '45E', in original. Note: couldn't interpret '$17', in original."
CSS490,SPECIAL TOPICS,CSS,2016,SUM,Restr,no_add_code,-,A,5,-,MW,100-330,DISC,162,"Erdly, William W",Open,27,45,-,-,-
